424000 43
425000 -7
426000 -15
427000 -26
428000 4
429000 46
430000 -21
431000 -10
432000 44
433000 49
434000 74
435000 -52
436000 -57
437000 13
438000 28
439000 -6
440000 -9
441000 15
442000 112
443000 19
444000 64
445000 0
446000 4
447000 -41
448000 -52
449000 38
450000 -92
451000 6
452000 -38
453000 -48
454000 -10
455000 -80
456000 -37
457000 115
458000 36
459000 -18
460000 66
461000 24
462000 -53
463000 50
464000 -24
465000 20
466000 26
467000 36
468000 50
469000 -19
470000 46
471000 4
472000 21
473000 34
474000 -36
475000 -8
476000 -10
477000 -20
478000 -37
479000 9
480000 -6
481000 -8
482000 30
483000 27
484000 -28
485000 -39
486000 16
487000 12
488000 20
489000 2
490000 8
491000 5
492000 -18
493000 -2
494000 -10
495000 -15
496000 20
497000 8
498000 7
499000 -1
500000 1
501000 4
502000 -2
503000 8
504000 14
505000 4
506000 -16
507000 -9
508000 4
509000 10
510000 -2
511000 -7
512000 -3
513000 -2
514000 3
515000 2
516000 3
517000 -1
518000 1
519000 -1
520000 -1
521000 0
522000 0
523000 0
524000 -4526
525000 -16235
526000 -7683
527000 -11162
528000 6304
529000 1178
530000 800
531000 613
532000 1261
533000 140
534000 2507
535000 -3900
536000 -5182
537000 -8252
538000 -2643
539000 -4840
540000 -1706
541000 -656
542000 284
543000 3106
544000 2798
545000 4271
546000 -65
547000 -2988
548000 -7555
549000 1259
550000 -1031
551000 -645
552000 -1242
553000 -369
554000 1749
555000 2808
556000 3675
557000 2670
558000 -841
559000 1527
560000 -2414
561000 -524
562000 -3721
563000 -1687
564000 -4162
565000 -2538
566000 -3140
567000 -2946
568000 -3392
569000 6626
570000 3772
571000 -14143
572000 9057
573000 3953
574000 2958
575000 1993
576000 1134
577000 -544
578000 2241
579000 -958
580000 -34
581000 -3712
582000 -835
583000 125
584000 3389
585000 2014
586000 3837
587000 3795
588000 1801
589000 3689
590000 -1546
591000 5879
592000 -10774
593000 11125
594000 2132
595000 1985
596000 1610
597000 3140
598000 2462
599000 1404
600000 1117
601000 -978
602000 1182
603000 4388
604000 4586
605000 -2556
606000 3290
607000 -2695
608000 837
609000 -29
610000 -980
611000 928
612000 -1546
613000 865
614000 -7683
615000 15594
616000 3551
617000 14576
618000 -924
619000 601
620000 -2601
621000 -2193
622000 -2508
623000 -3187
624000 -3252
625000 -1194
